派别,场所名称,地址,负责人姓名,省级行政区,省属地级行政区/直辖市属县区级行政区,经纬度,,,,,,
全真,紫云宫,重庆市长寿区江南镇称沱村,雷合松,重庆,长寿区,"106.902547,30.009034",,,,,,
全真,桓侯宫,重庆市长寿区凤城街道复元村,张宗鼎,重庆,长寿区,"107.098262,29.799433",,,,,,
正一,城隍庙,重庆市长寿区葛兰镇天宝村,尹正华,重庆,长寿区,"107.121779,29.992095",,,,,,
全真,三清观,重庆市大足区中敖镇三桥村5社,蒋至科,重庆,大足区,"105.672574,29.756739",,,,,,
正一,北山道院,重庆市涪陵区江北街道点易居委,汪志吉,重庆,涪陵区,"107.394458,29.720298",,,,,,
全真,二仙观,重庆市合川区南办处南屏村二社,王理人,重庆,合川区,"106.260685,29.960132",,,,,,
全真,甘泉道院,重庆市合川区钓办处佛耳村,陈祥龙,重庆,合川区,"106.283993,30.001243",,,,,,
全真,石孔观,重庆市合川区二郎镇联珠村七社,王清,重庆,合川区,"105.998553,30.360581",,,,,,
全真,大鼎观,重庆市合川区大石街道办事处柿子村二社,赵相安,重庆,合川区,"106.198476,30.100102",,,,,,
全真,太和东南道观,重庆市合川区太和镇东南村三社,彭清亮,重庆,合川区,"106.069923,30.103561",,,,,,
全真,太清宫,重庆市合川区龙凤镇龙多村9社,刘理国,重庆,合川区,"106.011487,30.240435",,,,,,
全真,老君洞,重庆市南岸区南山街道黄桷垭老君坡29号,邓信德　,重庆,南岸区,"106.576282,29.557274",,,,,,
全真,白云观,重庆市綦江区石角镇白云村,温理贵,重庆,綦江区,"106.735514,28.981690",,,,,,
全真,龙泉洞道观,重庆市沙坪坝区覃家岗镇下土湾龙泉洞,苟亚军,重庆,沙坪坝区,"106.487249,29.550371",,,,,,
全真,古书山道观,重庆市沙坪坝区凤凰镇威灵村,黎元凤,重庆,沙坪坝区,"106.329123,29.683577",,,,,,
全真,威灵山道观,重庆市万盛经开区南桐镇营寨村下坝社,王理泽,重庆,万盛经开区,"106.864465,28.944363",,,,,,
全真,龙门观,重庆市万盛经开区万东镇榜上村幸福井,朱理玄,重庆,万盛经开区,"106.926850,28.942915",,,,,,
全真,龙藏宫,重庆市渝北区龙兴镇藏龙街,严崇弘,重庆,渝北区,"106.794235,29.699546",,,,,,
全真,关岳庙,重庆市渝中区李子坝坡37号,罗来信,重庆,渝中区,"106.533447,29.550199",,,,,,
全真,天仙观,重庆市奉节县公平镇长龙村,贺小江,重庆,奉节县,"109.176015,31.124188",,,,,,
全真,玉皇阁道观,重庆市奉节县白帝城风景区长岭村11社,廖嗣荣,重庆,奉节县,"109.570623,31.044944",,,,,,
全真,东岳庙,重庆市开县镇东街道睡佛社区北岳街2号,赵宗玄,重庆,开县,"108.404792,31.188877",,,,,,
全真,城隍庙,重庆市铜梁区安居镇西街124号,赵永海,重庆,铜梁区,"106.027867,29.989619",,,,,,
正一,万寿宫,重庆市铜梁区白羊镇金羊街23号,李德兰,重庆,铜梁区,"106.086451,29.957940",,,,,,
全真,文峰观,重庆市巫山县巫峡镇文峰村3组,孙至阳,重庆,巫山县,"109.933100,31.078146",,,,,,
全真,玉皇宫,河北省邯郸市永年县刘营乡榆林村,范鸿林,河北,邯郸市,"114.629833,36.867720",,,,,,
全真,泰山行宫,河北省邯郸市永年县东杨庄乡茹佐村,冀好的,河北,邯郸市,"114.652464,36.765300",,,,,,
全真,清都观,河北省邯郸市永年县西苏乡西苏村,张子连,河北,邯郸市,"114.561023,36.755897",,,,,,
全真,泰山行宫,河北省邯郸市永年县临名关镇段庄村,薛京的,河北,邯郸市,"114.509975,36.768454",,,,,,
全真,清静观,河北省邯郸市永年县刘汉乡宁屯村,高改平,河北,邯郸市,"114.552189,36.827061",,,,,,
全真,玉皇庙,河北省邯郸市永年县东杨庄乡西陈甫村,王振山,河北,邯郸市,"114.680429,36.759816",,,,,,
全真,三清堂,河北省邯郸市永年县西苏乡尚村,李绍进,河北,邯郸市,"114.595735,36.780664",,,,,,
全真,泰山行宫,河北省邯郸市永年县刘营乡龙泉村,王来贵,河北,邯郸市,"114.542228,36.787353",,,,,,
全真,玉皇宫,河北省邯郸市永年县刘营乡五里村,赵天景,河北,邯郸市,"114.527953,36.805685",,,,,,
全真,岱宗观,河北省邯郸市永年县小西堡乡大西村,王文现,河北,邯郸市,"114.758251,36.671650",,,,,,
全真,灯山阁,河北省邯郸市永年县临名关镇西滩头村,刘双军,河北,邯郸市,"114.509372,36.802687",,,,,,
全真,玉皇阁,河北省邯郸市永年县东杨庄乡东杨庄村,李存生,河北,邯郸市,"114.712453,36.766893",,,,,,
全真,城隍庙,河北省邯郸市涉县涉城镇城里村戏园,鹿刘成,河北,邯郸市,"113.682208,36.559890",,,,,,
全真,吕祖庙,河北省邯郸市涉县西戌镇西戌村,牛光川,河北,邯郸市,"113.801975,36.695153",,,,,,
全真,强家坟慈航宫,河北省沧州市运河区小王庄镇强家坟村,王桂明,河北,沧州市,"116.851201,38.289941",,,,,,
全真,火神庙（真德观）,河北省邢台市桥西区北大郭村,霍振华,河北,邢台市,"114.450236,37.072764",,,,,,
全真,奶奶庙　,河北省邯郸市成安县西未村,郭华,河北,邯郸市,"114.654627,36.452341",,,,,,
正一,通真观,河北省邯郸市邯郸县代召西聂庄村,周济生,河北,邯郸市,"114.621305,36.546386",,,,,,
正一,东小屯玉皇庙,河北省邯郸市邯郸县明珠街道东小屯村,常彩香,河北,邯郸市,"114.524159,36.590439",,,,,,
正一,玄天上帝庙,河北省邯郸市姜窑村西古石龙山上,张怀其,河北,邯郸市,"114.401411,36.685196",,,,,,
正一,玉皇庙,河北省邯郸市邯郸县南吕固乡东扶仁村,无,河北,邯郸市,"114.614537,36.692553",,,,,,
正一,泰山行宫,河北省邯郸市馆陶县房寨镇西浒演村,孙清莲,河北,邯郸市,"115.227644,36.528794",,,,,,
正一,斗姥宫,河北省邯郸市馆陶县馆陶镇孙庄村,李爱香,河北,邯郸市,"115.289956,36.508973",,,,,,
正一,泰山行宫,河北省邯郸市鸡泽县双塔镇中申底村,赵运华,河北,邯郸市,"114.808586,36.823320",,,,,,
全真,龙王堂,河北省张家口市涿鹿县涿鹿镇罗庄村,闫进花,河北,张家口市,"115.139661,40.379179",,,,,,
全真,蚩尤祠,河北省张家口市涿鹿县矾山镇柳树庄村,于建才,河北,张家口市,"115.465141,40.097255",,,,,,
全真,碧霞祠,河北省张家口市怀来县卧牛山旅游区,高凤东,河北,张家口市,"115.758350,40.365429",,,,,,
全真,老君山道观,河北省张家口市怀来县桑园镇老君山,侯生学,河北,张家口市,"115.503757,40.334437",,,,,,
全真,天皇山清泉寺,河北省张家口市怀来县北辛堡镇方家冲村,侯生学,河北,张家口市,"115.760557,40.453518",,,,,,
全真,西佐村玉皇宫,河北省邯郸市峰峰镇西佐老村玉皇岗,刘青珍,河北,邯郸市,"114.214838,36.481888",,,,,,
全真,土地庙,河北省邯郸市峰峰矿区彭城镇联合村,张巧珍,河北,邯郸市,"114.173335,36.417880",,,,,,
全真,白龙庙菩萨庙,河北省邯郸市峰峰矿区和村镇李岗西村,席未河,河北,邯郸市,"114.081557,36.513500",,,,,,
全真,泰山行宫,河北省邯郸市曲周县白寨乡司寨村,刘书芳,河北,邯郸市,"114.899966,36.706543",,,,,,
全真,奶奶观,河北省邯郸市曲周县槐桥乡相公庄村,张保艮,河北,邯郸市,"115.007511,36.762885",,,,,,
全真,玉皇庙,河北省邯郸市第四疃镇赵街村,李秋香,河北,邯郸市,"115.021396,36.825773",,,,,,
全真,圣母宫,河北省邯郸市曲周县曲周镇岳庄村,无,河北,邯郸市,"114.968033,36.843805",,,,,,
全真,鼋神庙,河北省承德市围场满族蒙古族自治县围场镇湖字村,高志锋,河北,承德市,"117.813195,41.951526",,,,,,
全真,关帝庙,河北省承德市丰宁满族自治县凤山镇凤山街道,刘瑞杰,河北,承德市,"117.204035,41.232060",,,,,,
全真,肇兴观,河北省承德市丰宁满族自治县石人沟乡头道营村,石耀臣,河北,承德市,"117.004481,41.063771",,,,,,
全真,双泉观,河北省承德市承德县下板城镇辛家庄村,凌玉书,河北,承德市,"118.163110,40.684482",,,,,,
全真,敖龙寺,河北省承德市承德县头沟镇兴隆山村,李松龄,河北,承德市,"118.121572,41.131302",,,,,,
