派别,场所名称,地址,负责人姓名,省级行政区,省属地级行政区/直辖市属县区级行政区,经纬度,,,,,,
全真,金乡镇安心道观,浙江省温州市苍南县金乡镇老城办事处南垟村,曾诚明,浙江,温州市,"120.620324,27.456348",,,,,,
全真,金乡镇小渔村龙山道观,浙江省温州市苍南县金乡镇大渔小渔村,蔡信玉,浙江,温州市,"120.615416,27.390037",,,,,,
全真,灵溪镇凤仙道观,浙江省温州市苍南县灵溪镇渔塘口村横歧山,吴宗法,浙江,温州市,"120.409904,27.510185",,,,,,
全真,灵溪镇沪山纯真道观,浙江省温州市苍南县灵溪镇沪山办事处半垟村,陈诚仟（陈成干）,浙江,温州市,"120.497365,27.355899",,,,,,
全真,金乡镇凤安道观,浙江省温州市苍南县金乡镇凉亭村,林诚凤,浙江,温州市,"120.608664,27.418184",,,,,,
全真,灵溪镇大观金山道观,浙江省温州市苍南县灵溪镇溪心村,曾宗远,浙江,温州市,"120.419204,27.481035",,,,,,
全真,灵溪镇大亭村太虚道观,浙江省温州市苍南县灵溪镇浦亭大亭村,吴宗清,浙江,温州市,"120.373072,27.525601",,,,,,
全真,灵溪镇顶垟村建华道观,浙江省温州市苍南县灵溪镇观美顶垟村,郑计豹,浙江,温州市,"120.361045,27.412013",,,,,,
全真,金乡镇甘溪村宝溪道观,浙江省温州市苍南县金乡镇湖里办事处甘溪村,陈信雄,浙江,温州市,"120.608937,27.412325",,,,,,
全真,金乡镇观音洞道观,浙江省温州市苍南县金乡镇珠梅岭村,陈信龙,浙江,温州市,"120.630436,27.418644",,,,,,
全真,金乡镇海口村凤凰道观,浙江省温州市苍南县金乡镇炎亭海口村,李诚松,浙江,温州市,"120.641084,27.433163",,,,,,
全真,金乡镇永安道观,浙江省温州市苍南县金乡镇石砰坑东村,郑细梅,浙江,温州市,"120.641519,27.406501",,,,,,
全真,灵溪镇白雀道观,浙江省温州市苍南县灵溪镇渡龙西程村,曾信照（曾瑞陈）,浙江,温州市,"120.421784,27.489966",,,,,,
全真,灵溪镇保泰道观,浙江省温州市苍南县灵溪镇大观村,陈丽姿,浙江,温州市,"120.394259,27.480845",,,,,,
全真,灵溪镇灵渊道观,浙江省温州市苍南县灵溪镇观美分坪村,廖金娇（廖诚彩）,浙江,温州市,"120.349061,27.421409",,,,,,
全真,灵溪镇龙观道观,浙江省温州市苍南县灵溪镇大观南山村,林宗荣,浙江,温州市,"120.394259,27.480845",,,,,,
全真,灵溪镇玄元道观,浙江省温州市苍南县灵溪镇观美凤鹤村,温诚春,浙江,温州市,"120.378606,27.462979",,,,,,
全真,灵溪镇玉泉道观,浙江省温州市苍南县灵溪镇观美亭子村,王冬密（郭宗英）,浙江,温州市,"120.354631,27.438926",,,,,,
全真,灵溪镇玉真道观,浙江省温州市苍南县灵溪镇浦亭石聚村,徐乃想（吴树妍）,浙江,温州市,"120.409904,27.510185",,,,,,
全真,龙港镇陈家寺静心道观,浙江省温州市苍南县龙港镇云岩陈家寺,王月英（杨诚道）,浙江,温州市,"120.518215,27.502576",,,,,,
全真,龙港镇崇福道院,浙江省温州市苍南县龙港镇芦浦林家院村,陈诚鼎,浙江,温州市,"120.604587,27.498928",,,,,,
全真,龙港镇崇善道观,浙江省温州市苍南县龙港镇巴曹林家庄村仓后路1号,林诚才,浙江,温州市,"120.608545,27.493168",,,,,,
全真,龙港镇存善堂,浙江省温州市苍南县龙港镇巴曹水心九刀连两村,邓维新（吴诚群）,浙江,温州市,"120.552677,27.578554",,,,,,
全真,金乡镇灵岩道观,浙江省温州市苍南县金乡镇老城办事处东田村,郑诚善,浙江,温州市,"120.642047,27.457067",,,,,,
全真,金乡镇龙山道观,浙江省温州市苍南县金乡镇大渔大岙心村,龚信珠,浙江,温州市,"120.625268,27.376872",,,,,,
全真,灵溪镇升仙道观,浙江省温州市苍南县灵溪镇渔塘口下庄垟,肖宗德,浙江,温州市,"120.416934,27.501497",,,,,,
全真,灵溪镇玄妙道观,浙江省温州市苍南县灵溪镇溪心、西程村,吴宗珍,浙江,温州市,"120.420466,27.495150",,,,,,
全真,灵溪镇湾旦村龙隐道观,浙江省温州市苍南县灵溪镇凤池湾旦村,苏志朋,浙江,温州市,"120.385708,27.555403",,,,,,
全真,灵溪镇文字堂,浙江省温州市苍南县灵溪镇观美九甲村,苏启忠,浙江,温州市,"120.368068,27.432781",,,,,,
全真,龙港镇鲸头凤仙道观,浙江省温州市苍南县龙港镇云岩鲸头村,王诚金,浙江,温州市,"120.490684,27.511782",,,,,,
全真,龙港镇乾头村福善道观,浙江省温州市苍南县龙港镇巴曹乾头村,夏诚善,浙江,温州市,"120.609331,27.449294",,,,,,
全真,金乡镇环绿道观,浙江省温州市苍南县金乡镇河尾垟、半浃莲村,余贤会（杨维友）,浙江,温州市,"120.627586,27.454426",,,,,,
全真,金乡镇黄金河村环绿道观,浙江省温州市苍南县金乡镇郊外办事处黄金河村,夏崇富,浙江,温州市,"120.613100,27.454248",,,,,,
全真,赤溪镇静莲道观,浙江省温州市苍南县赤溪镇园林村,叶正亮,浙江,温州市,"120.496242,27.323336",,,,,,
全真,金乡镇金狮道观,浙江省温州市苍南县金乡镇公园巷36号,李诚宽,浙江,温州市,"120.610695,27.433632",,,,,,
全真,金乡镇金亭道观,浙江省温州市苍南县金乡镇湖里凉亭村,李诚进,浙江,温州市,"120.608664,27.418184",,,,,,
全真,金乡镇坑南村龙山道观,浙江省温州市苍南县金乡镇石砰坑南村龙山道观,林信传,浙江,温州市,"120.639988,27.403003",,,,,,
全真,灵溪镇江南苏村慈航道观,浙江省温州市苍南县灵溪镇江苏村,蔡美绿（周义驸）,浙江,温州市,"120.477099,27.523882",,,,,,
全真,灵溪镇净念道观,浙江省温州市苍南县灵溪镇西山村,董诚香,浙江,温州市,"120.397463,27.532311",,,,,,
全真,灵溪镇九凤道观,浙江省温州市苍南县灵溪镇观美九甲村,吴诚静,浙江,温州市,"120.368068,27.432781",,,,,,
全真,灵溪镇灵山道观,浙江省温州市苍南县灵溪镇岩头村,刘宗和,浙江,温州市,"120.396158,27.496290",,,,,,
全真,金乡镇三官道观,浙江省温州市苍南县金乡镇北门大街190号,黄信维,浙江,温州市,"120.608281,27.436402",,,,,,
全真,金乡镇三元道观,浙江省温州市苍南县金乡镇夏八美村云台山,夏崇志,浙江,温州市,"120.634706,27.412264",,,,,,
全真,金乡镇兴洪道观,浙江省温州市苍南县金乡镇炎亭振兴村,金信年,浙江,温州市,"120.654820,27.451055",,,,,,
全真,金乡镇醒狮道观,浙江省温州市苍南县金乡镇珠梅岭村,陈诚安,浙江,温州市,"120.630436,27.418644",,,,,,
全真,灵溪镇浦燕道观,浙江省温州市苍南县灵溪镇浦亭燕头村,温从满,浙江,温州市,"120.357529,27.524249",,,,,,
全真,灵溪镇三清道观,浙江省温州市苍南县灵溪镇观美亭子村,刘砰绒,浙江,温州市,"120.354631,27.438926",,,,,,
全真,灵溪镇紫云道观,浙江省温州市苍南县灵溪镇凤池大披村,李忠尧,浙江,温州市,"120.401691,27.500554",,,,,,
全真,龙港镇白云道观,浙江省温州市苍南县龙港镇巴曹浃前路1号,张信彬,浙江,温州市,"120.552677,27.578554",,,,,,
全真,龙港镇报德道观,浙江省温州市苍南县龙港镇芦浦浦南路1号,杨介亮,浙江,温州市,"120.590395,27.498279",,,,,,
全真,龙港镇北岭村清皇道观,浙江省温州市苍南县龙港镇巴曹北岭村,倪信聪,浙江,温州市,"120.655945,27.498581",,,,,,
全真,龙港镇凤凰道观,浙江省温州市苍南县龙港镇芦浦石路村,许崇基（陈宗信）,浙江,温州市,"120.552677,27.578554",,,,,,
全真,龙港镇韩家垟村洪池道观,浙江省温州市苍南县龙港镇平等办事处韩家垟村,葛东云,浙江,温州市,"120.557311,27.534562",,,,,,
全真,龙港镇康乐道观,浙江省温州市苍南县龙港镇巴曹平安村,李崇丽,浙江,温州市,"120.619579,27.492544",,,,,,
全真,龙港镇普灵道观,浙江省温州市苍南县龙港镇东城路345—363号,陈光法,浙江,温州市,"120.578766,27.569702",,,,,,
全真,马站镇桥新村妙峰道观,浙江省温州市苍南县马站镇桥新村,陈友希,浙江,温州市,"120.463168,27.264076",,,,,,
全真,马站镇天门道观,浙江省温州市苍南县马站镇霞关仙岩村石钟岗,叶希应,浙江,温州市,"120.485663,27.223305",,,,,,
全真,马站镇五泉道观,浙江省温州市苍南县马站镇蒲城甘溪村,王应对（朱朝春）,浙江,温州市,"120.452675,27.242461",,,,,,
全真,龙港镇金龙道观,浙江省温州市苍南县龙港镇金龙街80号,陈信龙,浙江,温州市,"120.555766,27.578414",,,,,,
全真,龙港镇金山道观,浙江省温州市苍南县龙港镇云岩,王诚英（徐爱连）,浙江,温州市,"120.504392,27.507266",,,,,,
全真,龙港镇金仙道观,浙江省温州市苍南县龙港镇巴曹金家沿村,温诚扬,浙江,温州市,"120.599580,27.492279",,,,,,
全真,龙港镇鲸头村灵安道观,浙江省温州市苍南县龙港镇云岩鲸头村,董诚灵,浙江,温州市,"120.490684,27.511782",,,,,,
全真,龙港镇玄妙道观,浙江省温州市苍南县龙港镇巴曹兴港路177号,肖信开,浙江,温州市,"120.631497,27.488213",,,,,,
全真,龙港镇玄真道观,浙江省温州市苍南县龙港镇咸园村玄真道观,杨诚道,浙江,温州市,"120.529931,27.576750",,,,,,
全真,龙港镇雁仙道观,浙江省温州市苍南县龙港镇云岩金中村,林信益,浙江,温州市,"120.500489,27.511565",,,,,,
全真,龙港镇垟底张村新安道观,浙江省温州市苍南县龙港镇巴曹垟底张村,张诚妙,浙江,温州市,"120.552677,27.578554",,,,,,
全真,龙港镇元光道观,浙江省温州市苍南县龙港镇平等办事处陈宅村172号,陈先福,浙江,温州市,"120.557311,27.534562",,,,,,
全真,马站镇延寿院,浙江省温州市苍南县马站镇谢家垟村,陈友希,浙江,温州市,"120.477576,27.287810",,,,,,
全真,钱库镇金粟道观,浙江省温州市苍南县钱库镇新安干桥村,曾宗香,浙江,温州市,"120.552208,27.494063",,,,,,
全真,钱库镇静幽道观,浙江省温州市苍南县钱库镇望里浃底园村凤凰山庄,陈信宜（陈宗化）,浙江,温州市,"120.524769,27.486663",,,,,,
全真,龙港镇忠信道观,浙江省温州市苍南县龙港镇黄中村368号,陈世立,浙江,温州市,"120.576471,27.541202",,,,,,
全真,马站镇光灵道观,浙江省温州市苍南县马站镇蒲城金城村,张秋明（张诗月）,浙江,温州市,"120.449816,27.234120",,,,,,
全真,马站镇金灵道观,浙江省温州市苍南县马站镇沿浦岭尾村,王孝永,浙江,温州市,"120.469755,27.214017",,,,,,
全真,钱库镇宝山道观,浙江省温州市苍南县钱库镇望里北岙村,廖如友,浙江,温州市,"120.516065,27.488423",,,,,,
全真,钱库镇车头村瑞云道观,浙江省温州市苍南县钱库镇车头村,郑崇根,浙江,温州市,"120.569586,27.480328",,,,,,
全真,钱库镇陈东村宝龙道观,浙江省温州市苍南县藻溪镇北山村西湖道观,陈定爽,浙江,温州市,"120.393870,27.386210",,,,,,
全真,钱库镇祺林村龙庆道观,浙江省温州市苍南县钱库镇望里祺林村,罗中要,浙江,温州市,"120.528447,27.472748",,,,,,
全真,钱库镇神龙道观,浙江省温州市苍南县钱库镇仙居神宫桥村,杨信贵,浙江,温州市,"120.560199,27.501060",,,,,,
全真,钱库镇天真道观,浙江省温州市苍南县钱库镇括山望洲山,李道进（戴志尊）,浙江,温州市,"120.520958,27.438095",,,,,,
全真,钱库镇燕窠硐玉虚道观,浙江省温州市苍南县钱库镇望里燕窠硐,陈信仙,浙江,温州市,"120.678127,27.462796",,,,,,
全真,钱库镇紫云道观,浙江省温州市苍南县钱库镇望里东前村,林信愿（林信义）,浙江,温州市,"120.538552,27.469896",,,,,,
全真,桥墩镇鹅峰道观,浙江省温州市苍南县桥墩镇古树村,温宗长,浙江,温州市,"120.327923,27.463849",,,,,,
全真,桥墩镇回龙道观,浙江省温州市苍南县桥墩镇四亩村,罗烈月,浙江,温州市,"120.253832,27.468248",,,,,,
全真,桥墩镇黎阳村忠臣道观,浙江省温州市苍南县桥墩镇五凤黎阳村,徐象勇,浙江,温州市,"120.309992,27.460025",,,,,,
全真,宜山镇龙安道观,浙江省温州市苍南县宜山镇上水门村,许世栋（许诚化）,浙江,温州市,"120.523646,27.505877",,,,,,
全真,钱库镇黄车堡东华道观,浙江省温州市苍南县钱库镇黄车堡村,林志董,浙江,温州市,"120.571449,27.479525",,,,,,
全真,钱库镇黄德道观,浙江省温州市苍南县钱库镇山下村,金诚庆,浙江,温州市,"120.561034,27.459873",,,,,,
全真,钱库镇回兴道观,浙江省温州市苍南县钱库镇望里神山村东门垟村,李宗锦,浙江,温州市,"120.506688,27.439981",,,,,,
全真,县港镇湖前西桥村清华道观,浙江省温州市苍南县龙港镇湖前西桥村,章国唱,浙江,温州市,"120.523141,27.562735",,,,,,
全真,马站镇白云观,浙江省温州市苍南县马站镇渔寮交椅宽村,李学银,浙江,温州市,"120.511918,27.262725",,,,,,
全真,马站镇景福道观,浙江省温州市苍南县马站镇蒲城西门外村,王祖南,浙江,温州市,"120.441395,27.235032",,,,,,
全真,马站镇静隐道观,浙江省温州市苍南县马站镇霞关仙岩村,叶显水,浙江,温州市,"120.493920,27.218142",,,,,,
全真,龙港镇明德堂,浙江省温州市苍南县龙港镇云岩鲸头村,林通鹫,浙江,温州市,"120.490684,27.511782",,,,,,
全真,龙港镇泮河村新积道观,浙江省温州市苍南县龙港镇巴曹泮河村,金信雄,浙江,温州市,"120.552677,27.578554",,,,,,
全真,钱库镇东山头村紫云道观,浙江省温州市苍南县钱库镇望里东山头村,肖日埕,浙江,温州市,"120.540946,27.469360",,,,,,
全真,钱库镇江心道观,浙江省温州市苍南县钱库镇新安东社村,黄信弟,浙江,温州市,"120.549806,27.499335",,,,,,
全真,马站镇南关村志善堂,浙江省温州市苍南县马站镇霞关南关村,黄诚真,浙江,温州市,"120.477013,27.151176",,,,,,
全真,藻溪镇加针坑村妙觉道观,浙江省温州市苍南县藻溪镇加针坑村,庄李花,浙江,温州市,"120.507116,27.426001",,,,,,
全真,藻溪镇东山道观,浙江省温州市苍南县藻溪镇东山道观,谢信義（潘莲英）,浙江,温州市,"120.664934,27.478434",,,,,,
全真,钱库镇凤凰道观,浙江省温州市苍南县钱库镇望里凤岙村,林诚安,浙江,温州市,"120.514141,27.473840",,,,,,
全真,钱库镇宫西村仙灵道观,浙江省温州市苍南县钱库镇望里宫西村,陈美莲（刘修初）,浙江,温州市,"120.537278,27.469450",,,,,,
全真,钱库镇普觉道观,浙江省温州市苍南县钱库镇括山小陈家堡,蒋诚琴,浙江,温州市,"120.575250,27.451419",,,,,,
全真,桥墩镇太清道观,浙江省温州市苍南县桥墩镇横墙村,杜宗文,浙江,温州市,"120.332786,27.440041",,,,,,
全真,藻溪镇蔗岙村慈航道观,浙江省温州市苍南县藻溪镇蔗岙村三台山,李高荣（李孝荣）,浙江,温州市,"120.460754,27.430469",,,,,,
全真,藻溪镇龙潭道观,浙江省温州市苍南县藻溪镇建光村,倪宗权,浙江,温州市,"120.454620,27.456332",,,,,,
全真,藻溪镇双麟道观,浙江省温州市苍南县藻溪镇蔗岙村,肖美蕊,浙江,温州市,"120.460144,27.449166",,,,,,
全真,藻溪镇天仙道观,浙江省温州市苍南县藻溪镇丁岙村清凤山,陈贤求（郑克昆）,浙江,温州市,"120.466084,27.470688",,,,,,
全真,藻溪镇真仙道观,浙江省温州市苍南县藻溪镇蔗岙村三台山,林修华（宋化乾）,浙江,温州市,"120.460754,27.430469",,,,,,
全真,桥墩镇仙堂道观,浙江省温州市苍南县桥墩镇五凤凤鸣村,宋宗妙,浙江,温州市,"120.333352,27.415662",,,,,,
全真,宜山镇金龙道观,浙江省温州市苍南县宜山镇新唐山,李美英,浙江,温州市,"120.544960,27.513499",,,,,,
全真,玉苍道观,浙江省温州市苍南县玉苍风景区,康信祈,浙江,温州市,"120.307177,27.497966",,,,,,
全真,钱库镇龙隐道观,浙江省温州市苍南县钱库镇望里溪头埠,徐信香,浙江,温州市,"120.506610,27.467064",,,,,,
全真,桥墩镇延寿道观,浙江省温州市苍南县桥墩镇天星村,陈宗延,浙江,温州市,"120.324665,27.430662",,,,,,
全真,桥墩镇玉龙道观,浙江省温州市苍南县桥墩镇库区村,苏兴云,浙江,温州市,"120.314953,27.482644",,,,,,
全真,钱库镇仙岩道观,浙江省温州市苍南县钱库镇垟头山,季诚顺,浙江,温州市,"120.571449,27.479525",,,,,,
正一,蒲州街道吕祖观,浙江省温州市龙湾区汤家桥村西河北路2号,黄瑞波,浙江,温州市,"120.715938,27.991235",,,,,,
正一,沙城街道八甲太阴宫,浙江省温州市龙湾区沙城街道八甲太阴宫,杨招弟,浙江,温州市,"120.798761,27.883672",,,,,,
正一,海滨街道蟾钟太阴宫,浙江省温州市龙湾区海滨街道蟾钟村,张月香,浙江,温州市,"120.838156,27.908361",,,,,,
正一,海滨街道沙南下垟观,浙江省温州市龙湾区海滨街道沙南中路5号,陈学岩,浙江,温州市,"120.840316,27.908670",,,,,,
正一,海滨街道沙中太阴宫,浙江省温州市龙湾区海滨街道沙中村,陈玉葵,浙江,温州市,"120.843866,27.911912",,,,,,
正一,海滨街道忠烈观,浙江省温州市海滨街道沙村张家桥头,周巨祯,浙江,温州市,"120.841296,27.911932",,,,,,
正一,海城街道埭头太阴宫,浙江省温州市龙湾区海城街道埭头村,张剑绿,浙江,温州市,"120.751194,27.835808",,,,,,
正一,海城街道东溪太阴宫,浙江省温州市海城街道东溪村,姜文虎,浙江,温州市,"120.758954,27.842600",,,,,,
正一,海城街道仙迹观,浙江省温州市海城街道上涂村,叶引弟,浙江,温州市,"120.758320,27.830186",,,,,,
正一,蒲州街道关圣观,浙江省温州市龙湾区蒲州下埠村,吴金福,浙江,温州市,"120.729858,27.990772",,,,,,
正一,蒲州街道令公观,浙江省温州市龙湾区蒲州街道下埠村,高进其,浙江,温州市,"120.729858,27.990772",,,,,,
正一,沙城街道方岩观,浙江省温州市龙湾区沙城街道四甲烟台村,汪祥如,浙江,温州市,"120.798098,27.869862",,,,,,
正一,沙城街道清溟道观,浙江省温州市龙湾区沙城街道七甲街431号,项光寿,浙江,温州市,"120.814231,27.886281",,,,,,
正一,天河街道二甲玄武观,浙江省温州市龙湾区天河街道二甲村,章岩珍,浙江,温州市,"120.785070,27.857715",,,,,,
正一,海城街道显应观,浙江省温州市龙湾区海城街道邱宅村,张祥瑞,浙江,温州市,"120.769358,27.825572",,,,,,
正一,蒲州街道仁济观,浙江省温州市龙湾区蒲州街道上江张家牌中巷3号,张金生,浙江,温州市,"120.725151,27.978805",,,,,,
正一,海城街道岩头宫,浙江省温州市海城街道东门岩头,陈良钗,浙江,温州市,"120.396158,27.496290",,,,,,
正一,海城街道杨圣观,浙江省温州市海城街道中星村,陈香莲,浙江,温州市,"120.766498,27.831851",,,,,,
正一,海城街道永瑞宫,浙江省温州市龙湾区海城街道西一村天灯巷,何玉英,浙江,温州市,"120.767407,27.831469",,,,,,
正一,海城街道屿主宫,浙江省温州市龙湾区海城街道屿门村,蔡敏娜,浙江,温州市,"120.766386,27.826984",,,,,,
正一,海城街道浮圣观,浙江省温州市海城街道埭头村,陈春弟,浙江,温州市,"120.751194,27.835808",,,,,,
正一,海城街道瞿宋道观,浙江省温州市海城街道上涂村繁荣南街56号,涂志松,浙江,温州市,"120.764495,27.829179",,,,,,
正一,海城街道瞿太宫,浙江省温州市海城街道东门村,涂东兰,浙江,温州市,"120.773961,27.826139",,,,,,
正一,灵昆街道双合宫,浙江省温州市龙湾区灵昆街道九村,宋帮元,浙江,温州市,"120.828098,27.901334",,,,,,
正一,灵昆街道双昆宫,浙江省温州市龙湾区灵昆街道双昆村,林崇旺,浙江,温州市,"120.866326,27.971151",,,,,,
正一,灵昆街道天杨宫,浙江省温州市龙湾区灵昆街道叶先村 ,瞿定标,浙江,温州市,"120.894166,27.958684",,,,,,
正一,瑶溪街道孝佑宫,浙江省温州市龙湾区瑶溪街道龙湾村云亭山和田岸山之间,潘正洪,浙江,温州市,"120.807192,27.963852",,,,,,
正一,瑶溪街道玄真观,浙江省温州市龙湾区瑶溪街道瑶溪山庄边,许新奇,浙江,温州市,"120.758915,27.924810",,,,,,
正一,瑶溪街道郑使观,浙江省温州市龙湾区瑶溪街道黄石村沙岙儿,陈寿岳,浙江,温州市,"120.836946,27.936438",,,,,,
正一,海滨街道兰田五岳观,浙江省温州市龙湾区海滨街道蓝田村,王超来,浙江,温州市,"120.839060,27.931058",,,,,,
正一,海城街道东岳道观,浙江省温州市龙湾区海城街道城河东路135号,陈开兴,浙江,温州市,"120.770881,27.828300",,,,,,
正一,海城街道凤山宫,浙江省温州市海城街道凤山脚,林玉燕,浙江,温州市,"120.726501,27.832794",,,,,,
正一,海城街道浮沙观,浙江省温州市海城街道埭头村锦瑞北街,张式高,浙江,温州市,"120.751194,27.835808",,,,,,
正一,蒲州街道上江平水观,浙江省温州市龙湾区蒲州街道上江村东岸,陈国雄,浙江,温州市,"120.731265,27.984370",,,,,,
正一,蒲州街道许五观,浙江省温州市龙湾区蒲州街道屿田村,李永年,浙江,温州市,"120.739798,27.977469",,,,,,
正一,蒲州街道玄坦观,浙江省温州市龙湾区蒲州街道江前村江上地方,陈崇海,浙江,温州市,"120.722490,27.988588",,,,,,
正一,蒲州街道屿田平水观,浙江省温州市龙湾区蒲州街道屿田村河头,徐国光,浙江,温州市,"120.739798,27.977469",,,,,,
正一,蒲州街道庄济观,浙江省温州市龙湾区蒲州街道汤家桥村,叶美滔,浙江,温州市,"120.718971,27.992277",,,,,,
正一,海城街道石坦村天妃宫,浙江省温州市龙湾区海城街道石坦村,池金英,浙江,温州市,"120.766580,27.827439",,,,,,
正一,海城街道天后宫,浙江省温州市龙湾区海城街道邱宅村南洋路24号,陈元育,浙江,温州市,"120.640942,27.891791",,,,,,
正一,灵昆街道陈阴观,浙江省温州市龙湾区灵昆街道双昆村,余志兴,浙江,温州市,"120.866326,27.971151",,,,,,
正一,灵昆街道沙王思观,浙江省温州市龙湾区灵昆街道沙塘村,王昌滔,浙江,温州市,"120.887961,27.962376",,,,,,
正一,瑶溪街道朱宅太阴宫,浙江省温州市龙湾区瑶溪街道朱宅村,朱文枢,浙江,温州市,"120.791733,27.941761",,,,,,
正一,永兴街道八大观,浙江省温州市龙湾区永兴街道榕树下村,徐启栋,浙江,温州市,"120.825227,27.896474",,,,,,
正一,永兴街道东岳观,浙江省温州市龙湾区永兴街道乐二村,张桂斌,浙江,温州市,"120.823873,27.900850",,,,,,
正一,永中街道北山杨府观,浙江省温州市龙湾区永中街道北山上湾至下湾郊界地,郑元荣,浙江,温州市,"120.814310,27.945872",,,,,,
正一,永中街道东城观,浙江省温州市龙湾区永中街道永昌新城村东面城墙上,王思明,浙江,温州市,"120.815981,27.905485",,,,,,
正一,永中街道东瓯观,浙江省温州市龙湾区永中街道度山村,朱良标,浙江,温州市,"120.802107,27.891841",,,,,,
正一,永中街道峰门观,浙江省温州市龙湾区永昌前街村,陈会书,浙江,温州市,"120.809893,27.898576",,,,,,
正一,瑶溪街道广济观,浙江省温州市龙湾区瑶溪街道龙东村,吴正者,浙江,温州市,"120.812979,27.961672",,,,,,
正一,瑶溪街道河滨太阴宫,浙江省温州市龙湾区瑶溪街道河滨村下大房地方,邵康松,浙江,温州市,"120.785258,27.937710",,,,,,
正一,瑶溪街道黄山村后陈双联观,浙江省温州市龙湾区瑶溪街道黄山村后陈地方,孙克华,浙江,温州市,"120.828193,27.950762",,,,,,
正一,瑶溪街道黄山村上塘太阴宫,浙江省温州市龙湾区瑶溪街道黄山村上塘,吴克友,浙江,温州市,"120.828193,27.950762",,,,,,
正一,瑶溪街道黄山宫,浙江省温州市龙湾区瑶溪街道黄石村沙岙儿,林植环,浙江,温州市,"120.836946,27.936438",,,,,,
正一,永兴街道五显观,浙江省温州市龙湾区永兴街道南桥北村,张崇兴,浙江,温州市,"120.819077,27.893376",,,,,,
正一,永兴街道宣灵观,浙江省温州市龙湾区永兴街道沙园村,王德洲,浙江,温州市,"120.817142,27.892395",,,,,,
正一,永兴街道永堡道观,浙江省温州市龙湾区永兴街道小塘村,王碎弟,浙江,温州市,"120.832704,27.903578",,,,,,
正一,永中街道后京观,浙江省温州市龙湾区永中街道后京村,金卫荣,浙江,温州市,"120.830781,27.913089",,,,,,
正一,永中街道新殿道观,浙江省温州市瓯海永中桥北,李翠娒,浙江,温州市,"120.824430,27.925317",,,,,,
正一,永中街道杨陈观,浙江省温州市永中街道普门村拜圣桥路5号,张宪树,浙江,温州市,"120.819350,27.915573",,,,,,
正一,永中街道玉皇楼,浙江省温州市龙湾区永中街道青山村,陈仕进,浙江,温州市,"120.793467,27.923843",,,,,,
正一,状元街道伽蓝观,浙江省温州市龙湾区状元街道横街村徐家桥,林崇胜,浙江,温州市,"120.748673,27.979513",,,,,,
正一,状元街道高山宫,浙江省温州市龙湾区状元街道前岩高山,李连生,浙江,温州市,"120.766023,27.969884",,,,,,
正一,状元街道横街双联观,浙江省温州市龙湾区状元街道横街工业小区,王林生,浙江,温州市,"120.758984,27.973166",,,,,,
正一,永中街道青山三港观,浙江省温州市龙湾区永中街道青山村西首,娄锡荣,浙江,温州市,"120.793467,27.923843",,,,,,
正一,永中街道街道镇南太阴宫,浙江省温州市龙湾区永中街道街道南村乐园,陈步春,浙江,温州市,"120.830781,27.913089",,,,,,
正一,天河街道金益金山观,浙江省温州市龙湾区天河街道金益村,孙士旺,浙江,温州市,"120.790167,27.862105",,,,,,
正一,天河街道三港观,浙江省温州市龙湾区天河街道天津村,王少法,浙江,温州市,"120.790130,27.863327",,,,,,
正一,天河街道天津太阴宫,浙江省温州市温州市龙湾区天河街道天津村,张阿翠,浙江,温州市,"120.790130,27.863327",,,,,,
正一,永中街道坤德宫,浙江省温州市龙湾区永中街道新城村北门底,李日光,浙江,温州市,"120.815797,27.905498",,,,,,
正一,永中街道天仙宫,浙江省温州市龙湾区永中街道普门村五芳巷13号,张成浩,浙江,温州市,"120.821173,27.911764",,,,,,
正一,天河街道天坛观,浙江省温州市龙湾区天河街道三星村岙底天柱风景区,王成业,浙江,温州市,"120.778930,27.881840",,,,,,
正一,星海街道高轩杨伽观,浙江省温州市龙湾区星海街道高轩村,王兴波,浙江,温州市,"120.787559,27.864946",,,,,,
正一,永中街道陈府观,浙江省温州市龙湾区永中街道棋盘村上京地方,陈继秀,浙江,温州市,"120.821338,27.925477",,,,,,
正一,状元街道茅竹桥太阴宫,浙江省温州市龙湾区状元街道茅竹桥山河地方,周兆孝,浙江,温州市,"120.772419,27.969872",,,,,,
正一,状元街道状元桥村下市财神观,浙江省温州市龙湾区状元街道状元桥村下市路51-1,陈金生,浙江,温州市,"120.762974,27.973856",,,,,,
正一,永中街道上璜太阴宫,浙江省温州市龙湾区永中街道寺西村上璜地方,王国标,浙江,温州市,"120.821092,27.923053",,,,,,
全真,永中街道石胜观,浙江省温州市龙湾区永中街道双岙村,周荣更,浙江,温州市,"120.781291,27.909677",,,,,,
正一,永中街道水仙宫,浙江省温州市龙湾区永中街道郑宅村水仙宫,王茂育,浙江,温州市,"120.792006,27.879356",,,,,,
正一,永中街道天妃宫,浙江省温州市龙湾区永中街道沧河村,冯茂楷,浙江,温州市,"120.825828,27.916402",,,,,,
正一,永中街道张金观,浙江省温州市龙湾区永中街道寺西村,孙日银,浙江,温州市,"120.821092,27.923053",,,,,,
正一,永中街道郑宅杨门观,浙江省温州市龙湾区永中街道永昌郑宅天柱寺风景区内,郑笃洪,浙江,温州市,"120.771016,27.880696",,,,,,
正一,永中街道忠烈观,浙江省温州市龙湾区永中街道石浦村,张仁连,浙江,温州市,"120.832839,27.927761",,,,,,
